"","species","doy","year","source","photoperiod_sensitive"
"434","Festuca_rubra",131,1967,"uknc",FALSE
"435","Festuca_arundinacea",131,1967,"uknc",TRUE
"436","Papaver_somniferum",181,1967,"uknc",TRUE
"437","Ribes_nigrum",115,1967,"uknc",TRUE
"438","Rubus_idaeus",153.579235,1968,"uknc",TRUE
"439","Alopecurus_pratensis",116.6803279,1968,"uknc",TRUE
"440","Ilex_aquifolium",139.6174863,1968,"uknc",FALSE
"441","Cichorium_intybus",187.4863388,1968,"uknc",TRUE
"442","Ranunculus_ficaria",1.994535519,1968,"uknc",FALSE
"443","Ribes_rubrum",127.6502732,1968,"uknc",TRUE
"444","Phleum_pratense",172.5273224,1968,"uknc",TRUE
"445","Geum_urbanum",152.5819672,1968,"uknc",FALSE
"446","Lunaria_annua",110.6967213,1968,"uknc",TRUE
"447","Trifolium_repens",144.6038251,1968,"uknc",TRUE
"448","Digitalis_purpurea",159.5628415,1968,"uknc",TRUE
"449","Scrophularia_vernalis",110.6967213,1968,"uknc",FALSE
"450","Anagallis_arvensis",103.715847,1968,"uknc",TRUE
"451","Solidago_canadensis",200.4508197,1968,"uknc",TRUE
"452","Poa_pratensis",116.6803279,1968,"uknc",TRUE
"453","Chenopodium_album",184.4945355,1968,"uknc",TRUE
"454","Lactuca_serriola",197.4590164,1968,"uknc",TRUE
"455","Silene_dioica",117.6775956,1968,"uknc",FALSE
"456","Sinapis_alba",137.6229508,1968,"uknc",TRUE
"457","Sonchus_oleraceus",145.6010929,1968,"uknc",TRUE
"458","Arrhenatherum_elatius",154.5765027,1968,"uknc",FALSE
"459","Calluna_vulgaris",187.4863388,1968,"uknc",TRUE
"460","Antirrhinum_majus",154.5765027,1968,"uknc",TRUE
"461","Aster_novi-belgii",236.352459,1968,"uknc",TRUE
"462","Cynosurus_cristatus",153.579235,1968,"uknc",FALSE
"463","Briza_media",145.6010929,1968,"uknc",FALSE
"464","Plantago_lanceolata",116.6803279,1968,"uknc",TRUE
"465","Trifolium_pratense",136.6256831,1968,"uknc",TRUE
"466","Deschampsia_flexuosa",149.5901639,1968,"uknc",TRUE
"467","Epilobium_parviflorum",187.4863388,1968,"uknc",TRUE
"468","Myosotis_scorpioides",165.5464481,1968,"uknc",FALSE
"469","Poa_nemoralis",148.5928962,1968,"uknc",FALSE
"470","Poa_trivialis",145.6010929,1968,"uknc",FALSE
"471","Deschampsia_cespitosa",167.5409836,1968,"uknc",TRUE
